,price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,TPS,labels
1519,5500.82,532000000.0,95640000000.0,17387083.51,15589704.32,17143077.32,22759982.0,85550000.0,98600000.0,3.03,5554.55
1520,5548.81,915000000.0,96470000000.0,17385270.72,15588226.16,17141335.13,22753920.0,205000000.0,201000000.0,3.26,5500.82
1521,5502.35,1740000000.0,95670000000.0,17383695.3,15586274.92,17140771.11,22732417.0,341000000.0,355000000.0,3.37,5548.81
1522,5839.2,2240000000.0,102000000000.0,17382107.21,15584478.54,17139941.04,22746511.0,294000000.0,204000000.0,3.45,5502.35
1523,6311.84,535000000.0,110000000000.0,17380419.22,15583000.83,17155942.02,22723722.0,180000000.0,133000000.0,3.17,5839.2
1524,6366.08,468000000.0,111000000000.0,17378918.93,15581944.11,17155614.2,22704345.0,160000000.0,124000000.0,3.46,6311.84
1525,6344.83,420000000.0,110000000000.0,17377168.52,15579655.6,17154392.13,22679533.0,73310000.0,63340000.0,2.92,6366.08
1526,6368.89,391000000.0,111000000000.0,17375343.21,15578110.94,17153329.16,22667199.0,65300000.0,60550000.0,2.86,6344.83
1527,6382.71,604000000.0,111000000000.0,17373705.44,15577263.52,17151588.03,22646996.0,175000000.0,162000000.0,3.28,6368.89
1528,6457.4,654000000.0,112000000000.0,17372117.61,15575525.1,17151776.49,22630925.0,178000000.0,150000000.0,3.2,6382.71
1529,6518.12,715000000.0,113000000000.0,17370604.73,15574021.62,17152345.57,22643982.0,187000000.0,164000000.0,3.43,6457.4
1530,6424.54,606000000.0,112000000000.0,17368979.26,15571725.83,17149384.02,22631773.0,209000000.0,161000000.0,3.33,6518.12
1531,6415.36,490000000.0,111000000000.0,17367378.7,15569771.55,17147439.55,22608347.0,174000000.0,183000000.0,3.43,6424.54
1532,6385.58,513000000.0,111000000000.0,17365578.33,15568313.58,17146406.38,22581622.0,77900000.0,66030000.0,2.64,6415.36
1533,6341.52,403000000.0,110000000000.0,17364040.61,15567126.18,17142811.86,22641785.0,63640000.0,112000000.0,2.86,6385.58
1534,6374.2,459000000.0,111000000000.0,17362027.92,15564337.91,17141285.95,22647706.0,307000000.0,183000000.0,3.37,6341.52
1535,6323.79,444000000.0,110000000000.0,17360240.01,15562439.34,17139595.23,22642895.0,148000000.0,156000000.0,3.32,6374.2
1536,6289.5,542000000.0,109000000000.0,17358314.72,15561081.36,17136936.09,22636769.0,160000000.0,151000000.0,3.28,6323.79
1537,6283.93,498000000.0,109000000000.0,17356276.92,15559352.22,17134292.06,22630034.0,139000000.0,120000000.0,3.33,6289.5
1538,6331.41,722000000.0,110000000000.0,17354351.51,15557580.25,17132266.61,22618977.0,197000000.0,165000000.0,3.11,6283.93
1539,6418.62,400000000.0,111000000000.0,17352526.18,15554809.88,17133295.33,22641953.0,57540000.0,49750000.0,2.49,6331.41
1540,6421.83,328000000.0,111000000000.0,17350775.92,15553816.79,17131679.33,22632563.0,71040000.0,76820000.0,2.71,6418.62
1541,6417.87,464000000.0,111000000000.0,17349075.67,15551937.55,17129979.26,22625522.0,137000000.0,134000000.0,2.92,6421.83
1542,6413.62,475000000.0,111000000000.0,17347287.91,15550181.86,17127828.06,22638384.0,152000000.0,156000000.0,2.99,6417.87
1543,6446.16,501000000.0,112000000000.0,17345575.1,15547781.63,17126143.52,22616275.0,146000000.0,138000000.0,2.88,6413.62
1544,6409.71,520000000.0,111000000000.0,17344162.3,15546433.91,17124239.82,22600332.0,170000000.0,156000000.0,3.0,6446.16
